date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2009-03-01;CO-CUN;42;34;0;21;81;0;0
2009-03-08;CO-CUN;34;0;0;20;0;0;25
2009-03-15;CO-CUN;65;22;0;0;88;0;0
2009-03-22;CO-CUN;17;0;0;0;0;26;0
2009-03-29;CO-CUN;49;0;0;49;69;0;49
2009-04-05;CO-CUN;100;69;0;0;0;50;0
2009-04-12;CO-CUN;67;18;0;17;70;0;18
2009-04-19;CO-CUN;0;19;0;52;0;0;100
2009-04-26;CO-CUN;0;0;0;26;45;0;24
2009-05-03;CO-CUN;18;0;0;43;0;0;0
2009-05-10;CO-CUN;18;0;0;0;0;0;0
2009-05-17;CO-CUN;13;0;0;56;66;0;23
2009-05-24;CO-CUN;44;46;0;59;0;0;0
2009-05-31;CO-CUN;15;100;0;41;0;0;24
2009-06-07;CO-CUN;23;0;0;0;0;0;0
2009-06-14;CO-CUN;0;0;0;44;0;0;0
2009-06-21;CO-CUN;30;0;0;30;37;0;29
2009-06-28;CO-CUN;0;43;0;51;0;100;0
2009-07-05;CO-CUN;0;0;0;75;0;0;24
2009-07-12;CO-CUN;0;33;0;0;48;0;0
2009-07-19;CO-CUN;19;0;0;21;0;37;19
2009-07-26;CO-CUN;33;0;0;31;0;0;0
2009-08-02;CO-CUN;20;0;0;0;0;58;0
2009-08-09;CO-CUN;50;17;0;39;32;0;0
2009-08-16;CO-CUN;0;0;0;55;0;0;0
2009-08-23;CO-CUN;13;0;0;100;55;0;0
2009-08-30;CO-CUN;22;0;0;42;73;0;17
2009-09-06;CO-CUN;0;0;0;30;0;0;29
2009-09-13;CO-CUN;29;39;0;71;0;45;0
2009-09-20;CO-CUN;24;0;0;0;0;35;0
2009-09-27;CO-CUN;40;0;0;58;0;0;0
2009-10-04;CO-CUN;27;0;0;20;0;0;15
2009-10-11;CO-CUN;44;0;0;58;0;0;0
2009-10-18;CO-CUN;17;0;0;0;0;26;0
2009-10-25;CO-CUN;29;57;0;30;36;0;0
2009-11-01;CO-CUN;0;0;0;66;0;0;41
2009-11-08;CO-CUN;47;0;0;57;0;0;0
2009-11-15;CO-CUN;20;0;0;0;0;0;14
2009-11-22;CO-CUN;0;0;0;29;48;0;0
2009-11-29;CO-CUN;24;0;0;0;87;0;14
2009-12-06;CO-CUN;19;0;0;0;0;30;0
2009-12-13;CO-CUN;49;0;0;0;0;0;0
2009-12-20;CO-CUN;46;0;0;0;0;0;0
2009-12-27;CO-CUN;27;0;0;0;0;0;0
2010-01-03;CO-CUN;27;100;0;100;0;97;0
2010-01-10;CO-CUN;65;0;0;21;0;0;32
2010-01-17;CO-CUN;22;0;0;17;67;0;0
2010-01-24;CO-CUN;91;56;0;26;0;97;42
2010-01-31;CO-CUN;81;0;0;18;16;0;43
2010-02-07;CO-CUN;67;29;0;0;0;59;79
2010-02-14;CO-CUN;69;21;0;35;0;0;93
2010-02-21;CO-CUN;78;53;0;0;0;0;69
2010-02-28;CO-CUN;49;39;0;30;26;0;0
2010-03-07;CO-CUN;100;0;0;13;0;26;28
2010-03-14;CO-CUN;73;0;0;0;52;0;0
2010-03-21;CO-CUN;48;49;0;15;0;0;38
2010-03-28;CO-CUN;14;0;0;34;41;0;57
2010-04-04;CO-CUN;39;0;0;27;27;0;30
2010-04-11;CO-CUN;61;54;0;11;32;29;0
2010-04-18;CO-CUN;47;0;0;16;0;0;26
2010-04-25;CO-CUN;53;0;0;12;48;0;0
2010-05-02;CO-CUN;32;0;0;0;20;0;0
2010-05-09;CO-CUN;46;20;0;0;38;43;74
2010-05-16;CO-CUN;53;0;0;27;21;28;77
2010-05-23;CO-CUN;46;0;0;21;21;0;96
2010-05-30;CO-CUN;39;0;0;14;23;0;0
2010-06-06;CO-CUN;63;0;0;46;0;46;0
2010-06-13;CO-CUN;0;0;0;0;34;0;100
2010-06-20;CO-CUN;74;0;0;0;0;0;69
2010-06-27;CO-CUN;31;0;0;49;0;50;90
2010-07-04;CO-CUN;83;0;0;16;0;0;60
2010-07-11;CO-CUN;24;0;0;16;0;0;59
2010-07-18;CO-CUN;61;0;0;16;56;48;52
2010-07-25;CO-CUN;46;0;0;29;43;0;0
